ID_Reserva,Club,Coordenadas,Fecha,Dia_Semana,Es_Fin_Semana,Hora,Tipo_Pista,Nombre_Pista,Estado,Precio_Euro,Ingreso_Generado
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,13:30,Interior,Interior 5,Libre,14.56,0.0
321969cd,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,17:00,Interior,Interior 5,Ocupada,20.11,20.11
830797cf,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,18:30,Interior,Interior 5,Ocupada,27.04,27.04
c0870b44,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,21:30,Interior,Interior 5,Ocupada,24.96,24.96
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,09:00,Exterior,Exterior 1,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,10:30,Exterior,Exterior 1,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,12:00,Exterior,Exterior 1,Libre,7.8,0.0
2a06e07d,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,13:30,Exterior,Exterior 1,Ocupada,7.8,7.8
1bd07a58,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,17:30,Exterior,Exterior 1,Ocupada,17.83,17.83
584e978b,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,19:00,Exterior,Exterior 1,Ocupada,22.88,22.88
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,21:30,Exterior,Exterior 1,Libre,22.88,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,09:00,Exterior,Exterior 2,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,10:30,Exterior,Exterior 2,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,12:00,Exterior,Exterior 2,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,13:30,Exterior,Exterior 2,Libre,7.8,0.0
8f227ed2,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,17:30,Exterior,Exterior 2,Ocupada,17.83,17.83
ac2839d0,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,19:00,Exterior,Exterior 2,Ocupada,22.88,22.88
e47f3f76,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,21:30,Exterior,Exterior 2,Ocupada,22.88,22.88
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,09:00,Exterior,Exterior 3,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,10:30,Exterior,Exterior 3,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,12:00,Exterior,Exterior 3,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,13:30,Exterior,Exterior 3,Libre,7.8,0.0
3aa5b932,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,17:30,Exterior,Exterior 3,Ocupada,17.83,17.83
d292b3ed,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,19:00,Exterior,Exterior 3,Ocupada,22.88,22.88
86913932,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-23,Monday,0,21:30,Exterior,Exterior 3,Ocupada,22.88,22.88
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,09:00,Interior,Interior 1,Libre,14.56,0.0
6f5deabf,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,10:30,Interior,Interior 1,Ocupada,14.56,14.56
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,12:00,Interior,Interior 1,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,13:30,Interior,Interior 1,Libre,14.56,0.0
8bcf6df9,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,17:00,Interior,Interior 1,Ocupada,20.11,20.11
df505f88,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,18:30,Interior,Interior 1,Ocupada,27.04,27.04
62366280,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,21:30,Interior,Interior 1,Ocupada,24.96,24.96
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,09:00,Interior,Interior 2,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,10:30,Interior,Interior 2,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,12:00,Interior,Interior 2,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,13:30,Interior,Interior 2,Libre,14.56,0.0
2472a5ac,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,17:00,Interior,Interior 2,Ocupada,20.11,20.11
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,18:30,Interior,Interior 2,Libre,27.04,0.0
0817ad18,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,21:30,Interior,Interior 2,Ocupada,24.96,24.96
c20d599c,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,09:00,Interior,Interior 3,Ocupada,14.56,14.56
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,10:30,Interior,Interior 3,Libre,14.56,0.0
5b5b3830,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,12:00,Interior,Interior 3,Ocupada,14.56,14.56
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,13:30,Interior,Interior 3,Libre,14.56,0.0
5db098f9,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,17:00,Interior,Interior 3,Ocupada,20.11,20.11
c34b5c2c,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,18:30,Interior,Interior 3,Ocupada,27.04,27.04
b52ba627,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,21:30,Interior,Interior 3,Ocupada,24.96,24.96
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,09:00,Interior,Interior 4,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,10:30,Interior,Interior 4,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,12:00,Interior,Interior 4,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,13:30,Interior,Interior 4,Libre,14.56,0.0
66ead5d7,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,17:00,Interior,Interior 4,Ocupada,20.11,20.11
8dc0f55c,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,18:30,Interior,Interior 4,Ocupada,27.04,27.04
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,21:30,Interior,Interior 4,Libre,24.96,0.0
96280abe,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,09:00,Interior,Interior 5,Ocupada,14.56,14.56
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,10:30,Interior,Interior 5,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,12:00,Interior,Interior 5,Libre,14.56,0.0
7aad84f2,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,13:30,Interior,Interior 5,Ocupada,14.56,14.56
27dbe624,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,17:00,Interior,Interior 5,Ocupada,20.11,20.11
eaa68d93,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,18:30,Interior,Interior 5,Ocupada,27.04,27.04
75a0d87c,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,21:30,Interior,Interior 5,Ocupada,24.96,24.96
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,09:00,Exterior,Exterior 1,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,10:30,Exterior,Exterior 1,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,12:00,Exterior,Exterior 1,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,13:30,Exterior,Exterior 1,Libre,7.8,0.0
13b1898e,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,17:30,Exterior,Exterior 1,Ocupada,17.83,17.83
7e025ccb,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,19:00,Exterior,Exterior 1,Ocupada,22.88,22.88
23009441,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,21:30,Exterior,Exterior 1,Ocupada,22.88,22.88
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,09:00,Exterior,Exterior 2,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,10:30,Exterior,Exterior 2,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,12:00,Exterior,Exterior 2,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,13:30,Exterior,Exterior 2,Libre,7.8,0.0
2e796a2b,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,17:30,Exterior,Exterior 2,Ocupada,17.83,17.83
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,19:00,Exterior,Exterior 2,Libre,22.88,0.0
4be178d5,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,21:30,Exterior,Exterior 2,Ocupada,22.88,22.88
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,09:00,Exterior,Exterior 3,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,10:30,Exterior,Exterior 3,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,12:00,Exterior,Exterior 3,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,13:30,Exterior,Exterior 3,Libre,7.8,0.0
040b940d,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,17:30,Exterior,Exterior 3,Ocupada,17.83,17.83
7d1c5d81,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,19:00,Exterior,Exterior 3,Ocupada,22.88,22.88
125c2305,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-24,Tuesday,0,21:30,Exterior,Exterior 3,Ocupada,22.88,22.88
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,09:00,Interior,Interior 1,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,10:30,Interior,Interior 1,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,12:00,Interior,Interior 1,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,13:30,Interior,Interior 1,Libre,14.56,0.0
5bbe9c70,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,17:00,Interior,Interior 1,Ocupada,20.11,20.11
1ff8b33a,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,18:30,Interior,Interior 1,Ocupada,27.04,27.04
e243d666,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,21:30,Interior,Interior 1,Ocupada,24.96,24.96
350d426b,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,09:00,Interior,Interior 2,Ocupada,14.56,14.56
9558889d,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,10:30,Interior,Interior 2,Ocupada,14.56,14.56
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,12:00,Interior,Interior 2,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,13:30,Interior,Interior 2,Libre,14.56,0.0
402fa8b9,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,17:00,Interior,Interior 2,Ocupada,20.11,20.11
d3738109,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,18:30,Interior,Interior 2,Ocupada,27.04,27.04
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,21:30,Interior,Interior 2,Libre,24.96,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,09:00,Interior,Interior 3,Libre,14.56,0.0
eac17f3c,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,10:30,Interior,Interior 3,Ocupada,14.56,14.56
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,12:00,Interior,Interior 3,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,13:30,Interior,Interior 3,Libre,14.56,0.0
4950f184,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,17:00,Interior,Interior 3,Ocupada,20.11,20.11
bbdc5bd3,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,18:30,Interior,Interior 3,Ocupada,27.04,27.04
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,21:30,Interior,Interior 3,Libre,24.96,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,09:00,Interior,Interior 4,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,10:30,Interior,Interior 4,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,12:00,Interior,Interior 4,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,13:30,Interior,Interior 4,Libre,14.56,0.0
edcfbedf,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,17:00,Interior,Interior 4,Ocupada,20.11,20.11
fc04a67c,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,18:30,Interior,Interior 4,Ocupada,27.04,27.04
49751cb7,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,21:30,Interior,Interior 4,Ocupada,24.96,24.96
155afba5,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,09:00,Interior,Interior 5,Ocupada,14.56,14.56
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,10:30,Interior,Interior 5,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,12:00,Interior,Interior 5,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,13:30,Interior,Interior 5,Libre,14.56,0.0
52cd58b5,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,17:00,Interior,Interior 5,Ocupada,20.11,20.11
ae6f81a5,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,18:30,Interior,Interior 5,Ocupada,27.04,27.04
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,21:30,Interior,Interior 5,Libre,24.96,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,09:00,Exterior,Exterior 1,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,10:30,Exterior,Exterior 1,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,12:00,Exterior,Exterior 1,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,13:30,Exterior,Exterior 1,Libre,7.8,0.0
dd10f6e7,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,17:30,Exterior,Exterior 1,Ocupada,17.83,17.83
096a4d8e,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,19:00,Exterior,Exterior 1,Ocupada,22.88,22.88
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,21:30,Exterior,Exterior 1,Libre,22.88,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,09:00,Exterior,Exterior 2,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,10:30,Exterior,Exterior 2,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,12:00,Exterior,Exterior 2,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,13:30,Exterior,Exterior 2,Libre,7.8,0.0
4759c778,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,17:30,Exterior,Exterior 2,Ocupada,17.83,17.83
3832affc,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,19:00,Exterior,Exterior 2,Ocupada,22.88,22.88
13e73244,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,21:30,Exterior,Exterior 2,Ocupada,22.88,22.88
83173176,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,09:00,Exterior,Exterior 3,Ocupada,7.8,7.8
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,10:30,Exterior,Exterior 3,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,12:00,Exterior,Exterior 3,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,13:30,Exterior,Exterior 3,Libre,7.8,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,17:30,Exterior,Exterior 3,Libre,17.83,0.0
88ef878c,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,19:00,Exterior,Exterior 3,Ocupada,22.88,22.88
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-25,Wednesday,0,21:30,Exterior,Exterior 3,Libre,22.88,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-26,Thursday,0,09:00,Interior,Interior 1,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-26,Thursday,0,10:30,Interior,Interior 1,Libre,14.56,0.0
,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-26,Thursday,0,12:00,Interior,Interior 1,Libre,14.56,0.0
47672df0,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-26,Thursday,0,13:30,Interior,Interior 1,Ocupada,14.56,14.56
32f75589,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-26,Thursday,0,17:00,Interior,Interior 1,Ocupada,20.11,20.11
412b884b,Padel Deportivo Ebro,"41°40'04.3""N 0°55'22.4""W",2026-02-26,Thursday,0,18:30,Interior,Interior 1,Ocupada,27.04,27.04
